True,True,,,
0.968004,0.992294,0.991376,-1,
0.903864,0.970022,0.983042,-1,
0.979002,0.984328,0.995717,-1,
0.933800,0.925431,0.963790,-1,
0.915495,0.969725,0.979199,-1,
0.956453,0.982716,0.997738,-1,
0.983901,0.992602,0.997291,-1,
0.909563,0.971751,0.997235,-1,
0.967233,0.987390,0.998834,-1,
0.985032,0.984804,0.991487,-1,
0.912179,0.978179,0.994685,-1,
0.978802,0.990604,0.989331,-1,
0.954176,0.970696,0.978032,-1,
0.971183,0.987239,0.993366,-1,
0.990101,0.979791,0.997234,-1,
0.975752,0.988866,0.979263,-1,
0.990581,0.994130,0.997120,-1,
0.975952,0.994374,0.995220,-1,
0.968437,0.994662,0.998508,-1,
0.966910,0.985595,0.991612,-1,
0.967162,0.994351,0.993725,-1,
0.973005,0.957606,0.949573,-1,
0.974187,0.975520,0.995859,-1,
0.944839,0.948328,0.979710,-1,
0.965499,0.995566,0.996715,-1,
0.906408,0.971174,0.997765,-1,
0.973532,0.978636,0.983133,-1,
0.949800,0.987338,0.982386,-1,
0.961178,0.976368,0.990992,-1,
0.969973,0.990396,0.998375,-1,
0.921055,0.984292,0.997618,-1,
0.961085,0.947323,0.987287,-1,
0.971351,0.981365,0.990502,-1,
0.958764,0.990165,0.992720,-1,
0.979694,0.990970,0.994861,-1,
0.976573,0.988614,0.995337,-1,
0.972683,0.989828,0.996739,-1,
0.967209,0.992652,0.994735,-1,
0.977976,0.990559,0.991906,-1,
0.980354,0.989249,0.991704,-1,
0.961656,0.981032,0.990995,-1,
0.963386,0.986834,0.995217,-1,
0.970788,0.977555,0.996362,-1,
0.908116,0.977275,0.984447,-1,
0.963566,0.984165,0.996399,-1,
0.965086,0.991839,0.992360,-1,
0.980839,0.979587,0.998332,-1,
0.950366,0.966542,0.969644,-1,
0.920387,0.959362,0.984310,-1,
0.934326,0.938286,0.984848,-1,
0.889375,0.956294,0.955784,-1,
0.950370,0.978604,0.994232,-1,
0.953939,0.984785,0.997858,-1,
0.959195,0.988283,0.998119,-1,
0.896082,0.947089,0.984697,-1,
0.955299,0.990648,0.992800,-1,
0.975140,0.994630,0.997131,-1,
0.975844,0.985358,0.990851,-1,
0.967524,0.987787,0.986403,-1,
0.982584,0.989596,0.993351,-1,
0.970722,0.979431,0.965164,-1,
0.972350,0.982892,0.997325,-1,
0.987536,0.983069,0.992899,-1,
0.990698,0.987139,0.997630,-1,
0.895539,0.970933,0.983825,-1,
0.961035,0.992166,0.992086,-1,
0.915937,0.964930,0.987912,-1,
0.992594,0.937678,0.848139,-1,
0.955571,0.997195,0.998443,-1,
0.982655,0.996628,0.998365,-1,
0.947546,0.990509,0.995590,-1,
0.977033,0.991464,0.998032,-1,
0.971410,0.985288,0.997035,-1,
0.963038,0.996573,0.998198,-1,
0.925941,0.971139,0.994813,-1,
0.964739,0.988621,0.993243,-1,
0.868291,0.848422,0.979958,-1,
0.963402,0.975253,0.992652,-1,
0.955528,0.989055,0.995558,-1,
0.943232,0.986959,0.991390,-1,
0.979527,0.993825,0.995525,-1,
0.983113,0.981712,0.991904,-1,
0.737838,0.981445,0.987886,-1,
0.974646,0.976791,0.993540,-1,
0.954160,0.898029,0.971609,-1,
0.944448,0.988619,0.998921,-1,
0.977549,0.967540,0.974181,-1,
0.965332,0.979700,0.997297,-1,
0.983642,0.976871,0.986657,-1,
0.964219,0.977052,0.992987,-1,
0.882303,0.947410,0.979715,-1,
0.981801,0.992581,0.998228,-1,
0.993164,0.983801,0.991801,-1,
0.963628,0.994574,0.998104,-1,
0.982647,0.985137,0.989782,-1,
0.956975,0.994126,0.989366,-1,
0.969373,0.990594,0.995459,-1,
0.984772,0.991700,0.996078,-1,
0.968640,0.982253,0.976187,-1,
0.971417,0.982250,0.998211,-1,
0.976957,0.963926,0.992496,-1,
0.945807,0.901151,0.910602,-1,
0.968492,0.963726,0.989396,-1,
0.958270,0.982516,0.998726,-1,
0.978303,0.994624,0.998324,-1,
0.939243,0.981516,0.982427,-1,
0.974362,0.986358,0.983964,-1,
0.949518,0.986143,0.995853,-1,
0.928757,0.977893,0.996628,-1,
0.956521,0.997170,0.999360,-1,
0.966837,0.972045,0.991694,-1,
0.972934,0.977305,0.988415,-1,
0.966610,0.979629,0.986353,-1,
0.980679,0.983304,0.991447,-1,
0.972059,0.991127,0.987683,-1,
0.960431,0.991160,0.996435,-1,
0.960547,0.984908,0.997069,-1,
0.987162,0.984759,0.995917,-1,
0.971064,0.956134,0.969472,-1,
0.919458,0.964720,0.991426,-1,
0.973286,0.981906,0.998472,-1,
0.968917,0.961611,0.971048,-1,
0.948031,0.984959,0.996059,-1,
0.977088,0.983309,0.997627,-1,
0.948873,0.987485,0.988184,-1,
0.942151,0.989625,0.993328,-1,
0.949074,0.994221,0.994631,-1,
0.953702,0.966277,0.992239,-1,
0.955357,0.982861,0.991241,-1,
0.961815,0.991064,0.988255,-1,
0.987654,0.976463,0.992251,-1,
0.938974,0.897537,0.957836,-1,
0.932521,0.971013,0.995978,-1,
0.937989,0.989595,0.991251,-1,
0.984975,0.969217,0.953592,-1,
0.948653,0.965239,0.962083,-1,
0.000000,0.982595,0.968958,-1,
0.977939,0.977089,0.996819,-1,
0.968360,0.994682,0.996918,-1,
0.921181,0.969952,0.980669,-1,
0.875428,0.984004,0.985420,-1,
0.970100,0.983221,0.991306,-1,
0.932569,0.949970,0.991766,-1,
0.960733,0.975226,0.976165,-1,
0.970093,0.985626,0.998070,-1,
0.961201,0.975608,0.997093,-1,
0.974642,0.988285,0.998302,-1,
0.980096,0.970004,0.981969,-1,
0.962984,0.979927,0.984065,-1,
0.939701,0.983643,0.990331,-1,
0.949749,0.985851,0.994646,-1,
0.964689,0.993768,0.989278,-1,
0.991028,0.984095,0.987699,-1,
0.977680,0.944739,0.983993,-1,
0.925032,0.956751,0.983716,-1,
0.947643,0.995970,0.986611,-1,
0.978118,0.990233,0.997863,-1,
0.946150,0.982611,0.990086,-1,
0.981926,0.991260,0.995683,-1,
0.957968,0.989428,0.995867,-1,
0.975248,0.988391,0.991529,-1,
0.894768,0.976558,0.992914,-1,
0.979849,0.976523,0.993657,-1,
0.950236,0.904419,0.993340,-1,
0.946167,0.990150,0.991548,-1,
0.987410,0.994421,0.989833,-1,
0.957315,0.989547,0.998357,-1,
0.978165,0.992876,0.998749,-1,
0.932379,0.987890,0.997949,-1,
0.984940,0.995655,0.996448,-1,
0.980750,0.994663,0.998264,-1,
0.960377,0.986931,0.998265,-1,
0.983846,0.985827,0.994130,-1,
0.970398,0.987876,0.992247,-1,
0.958325,0.986309,0.996257,-1,
0.987969,0.993301,0.998118,-1,
0.977739,0.981812,0.996708,-1,
0.977323,0.988476,0.993406,-1,
0.953229,0.985231,0.994186,-1,
0.964965,0.962577,0.977512,-1,
0.986940,0.987262,0.996183,-1,
0.982817,0.948701,0.963255,-1,
0.937520,0.961861,0.991176,-1,
0.956056,0.962980,0.990942,-1,
0.930129,0.971420,0.986514,-1,
0.957010,0.985294,0.997892,-1,
0.984272,0.997904,0.998718,-1,
0.978349,0.983364,0.995089,-1,
0.961450,0.992151,0.994158,-1,
0.952507,0.990319,0.998272,-1,
0.922480,0.990477,0.994294,-1,
0.985470,0.985649,0.992759,-1,
0.972006,0.970092,0.987743,-1,
0.987433,0.991564,0.994757,-1,
0.943109,0.991791,0.998592,-1,
0.903022,0.990658,0.998309,-1,
0.918564,0.993354,0.998689,-1,
0.962482,0.971875,0.976523,-1,
0.983690,0.991935,0.997843,-1,
0.956305,0.971120,0.967025,-1,
0.941799,0.979334,0.993069,-1,
0.954578,0.988033,0.991833,-1,
0.957808,0.946322,0.936082,-1,
0.972048,0.990037,0.991277,-1,
0.979722,0.991885,0.985702,-1,
0.946307,0.991064,0.988409,-1,
0.956528,0.983916,0.995264,-1,
0.923256,0.970782,0.978421,-1,
0.985843,0.989962,0.998267,-1,
0.975251,0.980087,0.995817,-1,
0.968431,0.982303,0.996534,-1,
0.973217,0.982852,0.997365,-1,
0.956797,0.964807,0.996036,-1,
0.954931,0.924014,0.985194,-1,
